issue,mode,steps,final_time_local,excluded,widen,updated,note
2025-12-31,llm,8,2025-12-31 14:00:00,gfs_seamless,1.0,True,"На 1 января ожидается средняя генерация (ожидаемая доля 0.42), с ветреным периодом (выше 0.8) в течение 8 часов и спокойными часами (ниже 0.05) — 6 часов. На 2 января прогнозируется слабый ветер (ожидаемая доля 0.21), почти половина суток — штиль. Интервалы неопределённости умеренные (0.37–0.42). GFS исключён из-за большого отклонения, прогноз обновлён по свежему прогону ECMWF 9 км (ветер изменился на 1.03 м/с)."
2026-01-01,llm,8,2026-01-01 10:00:00,,1.0,False,"На 2 января ожидается низкая выработка (среднее P50 — 0.15), 10 часов почти без ветра. На 3 января прогнозируется рост генерации (среднее P50 — 0.44), но с высокой неопределённостью (широкий интервал). Существенных пересмотров по сравнению с предыдущим прогнозом нет (средний пересмотр 0.037). Новые прогоны ECMWF 9 км появились после 10:00 и могут изменить прогноз — обновление будет после их обработки."
2026-01-02,llm,8,2026-01-02 10:00:00,,1.0,False,"На 3 января ожидается средняя выработка 0.47 от максимума, на 4 января — 0.40. Ветреных и полностью штилевых часов не прогнозируется, интервалы неопределённости умеренные (ширина 0.61–0.69). Существенных изменений по сравнению с предыдущим прогнозом нет (среднее отклонение 0.07), свежие прогоны не вносят значимых корректировок (изменение ветра <0.3 м/с по ансамблю). Прогноз рассчитан по всем моделям без исключений."
2026-01-03,llm,9,2026-01-03 14:00:00,,1.0,True,"На 4 января ожидается средняя выработка 0.23, на 5 января — 0.12 от максимума. В оба дня преобладает умеренный и слабый ветер, периоды почти полного штиля — 4 часа на D+1 и 7 часов на D+2. Интервалы неопределённости средние, существенных пересмотров по сравнению с предыдущим прогнозом нет. Прогноз обновлён по свежим прогонам моделей (ECMWF 9 км 2026-01-03 00z и др.), что немного снизило ожидаемую выработку."
2026-01-04,llm,9,2026-01-04 14:00:00,,1.0,True,"На 5 января ожидается слабый ветер: средний прогноз 0.06, большая часть суток ниже 0.05. На 6 января ожидается резкое усиление ветра: средний прогноз 0.73, 15 часов выше 0.8. Неопределённость умеренная, интервалы сужены после обновления. Прогноз пересчитан по свежим данным (00z), значимых изменений не выявлено."
2026-01-05,llm,8,2026-01-05 10:00:00,,1.0,False,"На 6 января ожидается высокая выработка (среднее P50 — 0.82, 16 часов выше 0.8), на 7 января — почти полный штиль (среднее P50 — 0.05, 14 часов ниже 0.05). Интервалы неопределённости умеренные, крупных изменений по сравнению с предыдущим прогнозом нет. Свежие прогоны не вносят значимых корректив (изменение ансамбля 0.22 м/с), поэтому прогноз не пересчитывался. Заявка составлена по критическому квантилю 0.31."
2026-01-06,llm,10,2026-01-06 14:00:00,gfs_seamless,1.15,True,"На 7 января ожидается очень низкая генерация (среднее P50 — 0.019), все 24 часа ниже 0.05, ветер слабый. На 8 января прогнозируется умеренное усиление ветра (среднее P50 — 0.17), но генерация останется ниже средней, только 10 часов ниже 0.05. Интервалы неопределенности расширены на 15% из-за высокого разброса моделей. GFS исключён как выброс, прогноз пересчитан по свежим данным ECMWF и ICON (00z), что повысило точность."
2026-01-07,llm,10,2026-01-07 14:00:00,gfs_seamless,1.15,True,"На 8 января ожидается низкая выработка (среднее значение 0.10), 14 часов с очень слабым ветром. На 9 января прогнозируется рост генерации (среднее 0.35), но сохраняется высокая неопределённость (ширина интервала 0.54). Ветреных периодов (выше 0.8) не ожидается. GFS исключён из-за сильного отклонения, интервалы расширены из-за большого разброса ансамбля. Прогноз пересчитан по свежим данным ECMWF 9 км (00z)."
2026-01-08,llm,10,2026-01-08 14:00:00,,1.1,True,"На 9 января ожидается средняя выработка 0.19, на 10 января — 0.19 (отн.), максимальные значения не превышают 0.57. Ветреных часов не ожидается, в оба дня преобладает умеренный и слабый ветер, возможны периоды с низкой генерацией (до 2 часов ниже 0.05 на D+2). Интервалы прогноза расширены на 10% из-за высокого разброса моделей (37 часов выше 2.5 м/с). Прогноз пересчитан по свежим данным ECMWF и ICON (изменение ветра 0.56 м/с)."
2026-01-09,llm,10,2026-01-09 14:00:00,,1.1,True,"На 10 января ожидается средняя выработка (P50=0.34), без ветреных часов (выше 0.8 — 0 ч), на 11 января прогнозируется сильный ветер (P50=0.78), 12 часов выше 0.8. Интервалы неопределенности расширены на 10% из-за высокого разброса моделей (38 часов выше порога). Прогноз пересчитан по свежему прогону ECMWF 9 км (2026-01-09 00z), который увеличил ветер на 0.32 м/с. Существенных изменений по сравнению с предыдущим прогнозом нет."
